date;user;text;cleantext;tokens
2022-10-23 23:37:00;butahukum;"Kenapa baru hari ini kita dengar kasus ginjal akut pada anak?. Bukankah obat2 sirup itu sdh lama dikonsumsi dan diresepkan dokter, sdh lolos uji 
@BPOM_RI
 pula?. Apakah ini bukan akibat vaksin??. Kalau bukan, knp BPOM meloloskannya beredar??. Makin gk jelas aja nih.";dengar ginjal akut anak obat sirup konsumsi resep dokter lolos uji akibat vaksin bpom lolos edar nih;['dengar', 'ginjal', 'akut', 'anak', 'obat', 'sirup', 'konsumsi', 'resep', 'dokter', 'lolos', 'uji', 'akibat', 'vaksin', 'bpom', 'lolos', 'edar', 'nih']
2022-10-23 23:37:00;taruxtaria;wkwkwk anjir, tp gw hobby vaksin keknya ð­ tiap vaksin baru keluar gercep suntik https://t.co/fj9pWma2pK;wkwkwk anjir hobby vaksin kayak vaksin gercep suntik;['wkwkwk', 'anjir', 'hobby', 'vaksin', 'kayak', 'vaksin', 'gercep', 'suntik']
2022-10-23 23:37:00;Dadu24439009;Bgmn dgn kemungkinan badai sitokin dr infeksi alamiah prof ? Sy (tdk vaksin, pemakai thibbun nabawi bkn obat medis)  kena dr anak. Ya, saat sulit2nya berkemih alami inflamasi pulpal gigi (pulpitis) hingga tanggal.;badai sitokin infeksi alamiah prof vaksin pakai thibbun nabawi obat medis kena anak sat sulit nya kemih alami inflamasi pulpal gigi pulpitis tanggal;['badai', 'sitokin', 'infeksi', 'alamiah', 'prof', 'vaksin', 'pakai', 'thibbun', 'nabawi', 'obat', 'medis', 'kena', 'anak', 'sat', 'sulit', 'nya', 'kemih', 'alami', 'inflamasi', 'pulpal', 'gigi', 'pulpitis', 'tanggal']
2022-10-23 23:35:00;PemujaKadrun;@Lisaamartatara4 Loe Kadrun betina yg palsuin vaksin kan ??;lo kadrun betina palsuin vaksin;['lo', 'kadrun', 'betina', 'palsuin', 'vaksin']
2022-10-23 23:33:00;yangryuu;[cm] kalian suka penasaran ga sih sm gmn jalan pikirannya orang yg anti-vaksin? Mksdnya ya tetep ngeyel2 gt lah pendapat mereka, serius sender sbg anak kesehatan kadang yg speechless gt kalau ada yg ngeyel soal kesehatan pdhl udah dipaparin bukti atau dijelasin ahli:(((;suka penasaran sih jalan pikir orang anti vaksin maksud ngeyel serius sender anak sehat kadang speechless ngeyel sehat dipaparin bukti dijelasin ahli;['suka', 'penasaran', 'sih', 'jalan', 'pikir', 'orang', 'anti', 'vaksin', 'maksud', 'ngeyel', 'serius', 'sender', 'anak', 'sehat', 'kadang', 'speechless', 'ngeyel', 'sehat', 'dipaparin', 'bukti', 'dijelasin', 'ahli']
2022-10-23 23:31:00;lecantiona;gw mimpi habis vaksin lg terus bangun bangun tangannya pegel nangis;mimpi habis vaksin bangun bangun tangan gel menang;['mimpi', 'habis', 'vaksin', 'bangun', 'bangun', 'tangan', 'gel', 'menang']
2022-10-23 23:30:00;Saytheneo1;"@LtdAkbar ""kan anaknya ga vaksin kopit"" 
Lah emak bapaknya kan ada riwayat vaksin, nurunlah ke anaknyaa. Ada penelitian nya";anak vaksin kopit emak riwayat vaksin nurunlah anak teliti nya;['anak', 'vaksin', 'kopit', 'emak', 'riwayat', 'vaksin', 'nurunlah', 'anak', 'teliti', 'nya']
2022-10-23 23:30:00;MonCha65938734;RT @renysantika1: @susipudjiastuti Nanti covid bangkit lagi buat jualan vaksin ð¤£;covid bangkit jual vaksin;['covid', 'bangkit', 'jual', 'vaksin']
2022-10-23 23:29:00;MonCha65938734;RT @apo_subhan: @susipudjiastuti Pabrik vaksin ini nyata nyata ntuk mmbunuh bangsa bangsa dan negara Indonesia;pabrik vaksin nyata nyata ntuk mmbunuh bangsa bangsa negara indonesia;['pabrik', 'vaksin', 'nyata', 'nyata', 'ntuk', 'mmbunuh', 'bangsa', 'bangsa', 'negara', 'indonesia']
2022-10-23 23:29:00;pritiueq;@anakpungutHades @collegemenfess Sama bngt, awal vaksin aku diluan jd kelinci percobaan dirumahð­;banget vaksin diluan kelinci coban rumah;['banget', 'vaksin', 'diluan', 'kelinci', 'coban', 'rumah']
