accuracy;accuracy2;cvscore;cvscore2;y_pred;y_pred_pr;cvpred_pr
0.74733;0.75686;"[0.72       0.76       0.78666667 0.7        0.80666667 0.70666667
 0.80666667 0.73333333 0.67333333 0.78      ]";"[0.76285714 0.80571429 0.78       0.69142857 0.74       0.78
 0.74857143 0.76571429 0.74571429 0.74857143]";[-1 -1  1 ... -1 -1 -1];"[[0.81380001 0.18619999]
 [0.77441138 0.22558862]
 [0.10259159 0.89740841]
 ...
 [0.73475453 0.26524547]
 [0.5352905  0.4647095 ]
 [0.86745436 0.13254564]]";"[[0.79991883 0.20008117]
 [0.61944097 0.38055903]
 [0.57063689 0.42936311]
 ...
 [0.78410162 0.21589838]
 [0.52686847 0.47313153]
 [0.84771208 0.15228792]]"
0.68667;0.70514;"[0.69333333 0.68       0.7        0.68666667 0.72666667 0.6
 0.77333333 0.69333333 0.62666667 0.68666667]";"[0.7        0.74285714 0.69714286 0.67142857 0.71142857 0.72
 0.71428571 0.68571429 0.70857143 0.7       ]";[-1 -1  1 ... -1 -1 -1];"[[0.75957678 0.24042322]
 [0.77320651 0.22679349]
 [0.27021161 0.72978839]
 ...
 [0.70315273 0.29684727]
 [0.56488814 0.43511186]
 [0.87536053 0.12463947]]";"[[0.8226838  0.1773162 ]
 [0.65562934 0.34437066]
 [0.44945212 0.55054788]
 ...
 [0.78151105 0.21848895]
 [0.60030061 0.39969939]
 [0.87136782 0.12863218]]"
0.68933;0.70286;"[0.7        0.68       0.7        0.68666667 0.71333333 0.6
 0.76666667 0.70666667 0.64       0.7       ]";"[0.69428571 0.75714286 0.7        0.66857143 0.70571429 0.72
 0.72       0.68571429 0.69428571 0.68285714]";[-1 -1  1 ... -1 -1 -1];"[[0.77864747 0.22135253]
 [0.77260167 0.22739833]
 [0.22816955 0.77183045]
 ...
 [0.71192295 0.28807705]
 [0.54919705 0.45080295]
 [0.88762053 0.11237947]]";"[[0.8359952  0.1640048 ]
 [0.64474161 0.35525839]
 [0.43239644 0.56760356]
 ...
 [0.80817481 0.19182519]
 [0.58644255 0.41355745]
 [0.89144732 0.10855268]]"
0.76067;0.762;"[0.74666667 0.75333333 0.78666667 0.74       0.84       0.71333333
 0.77333333 0.73333333 0.72       0.8       ]";"[0.74857143 0.78       0.78       0.72857143 0.74571429 0.75714286
 0.79142857 0.76571429 0.75714286 0.76571429]";[-1 -1  1 ... -1  1 -1];"[[0.55039518 0.44960482]
 [0.51853456 0.48146544]
 [0.4566045  0.5433955 ]
 ...
 [0.51113817 0.48886183]
 [0.49233823 0.50766177]
 [0.56117951 0.43882049]]";"[[0.55522636 0.44477364]
 [0.50866382 0.49133618]
 [0.49915871 0.50084129]
 ...
 [0.52673446 0.47326554]
 [0.48478888 0.51521112]
 [0.5429121  0.4570879 ]]"
0.76067;0.76257;"[0.74666667 0.75333333 0.78666667 0.73333333 0.84       0.71333333
 0.77333333 0.73333333 0.72       0.80666667]";"[0.75142857 0.77714286 0.78       0.72571429 0.74571429 0.76
 0.79142857 0.76571429 0.75714286 0.77142857]";[-1 -1  1 ... -1  1 -1];"[[0.55290074 0.44709926]
 [0.51894308 0.48105692]
 [0.45600101 0.54399899]
 ...
 [0.51180682 0.48819318]
 [0.49280561 0.50719439]
 [0.56302328 0.43697672]]";"[[0.55709248 0.44290752]
 [0.50843965 0.49156035]
 [0.49910554 0.50089446]
 ...
 [0.52779129 0.47220871]
 [0.48419265 0.51580735]
 [0.54402592 0.45597408]]"
0.752;0.77629;"[0.75333333 0.74666667 0.78       0.72666667 0.81333333 0.69333333
 0.75333333 0.75333333 0.71333333 0.78666667]";"[0.78571429 0.79714286 0.77428571 0.72285714 0.76857143 0.79142857
 0.77142857 0.78857143 0.77428571 0.78857143]";[-1 -1  1 ... -1  1 -1];"[[0.59502897 0.40497103]
 [0.53355402 0.46644598]
 [0.4542542  0.5457458 ]
 ...
 [0.52185891 0.47814109]
 [0.48504796 0.51495204]
 [0.59769063 0.40230937]]";"[[0.58021092 0.41978908]
 [0.51439166 0.48560834]
 [0.4997699  0.5002301 ]
 ...
 [0.53293919 0.46706081]
 [0.48439002 0.51560998]
 [0.56661933 0.43338067]]"
0.75733;0.77686;"[0.75333333 0.74666667 0.78       0.73333333 0.81333333 0.7
 0.76       0.76666667 0.72       0.8       ]";"[0.78285714 0.79714286 0.77428571 0.72285714 0.77142857 0.79428571
 0.77428571 0.78857143 0.77428571 0.78857143]";[-1 -1  1 ... -1  1 -1];"[[0.59952633 0.40047367]
 [0.53409164 0.46590836]
 [0.45326137 0.54673863]
 ...
 [0.52197992 0.47802008]
 [0.48406755 0.51593245]
 [0.60045289 0.39954711]]";"[[0.58321737 0.41678263]
 [0.51434889 0.48565111]
 [0.49961852 0.50038148]
 ...
 [0.53388528 0.46611472]
 [0.48323266 0.51676734]
 [0.56861144 0.43138856]]"
0.754;0.78743;"[0.73333333 0.74666667 0.8        0.71333333 0.8        0.70666667
 0.76       0.76666667 0.72666667 0.78666667]";"[0.78857143 0.80571429 0.78       0.73428571 0.78285714 0.78
 0.8        0.81142857 0.79714286 0.79428571]";[-1 -1  1 ... -1  1 -1];"[[0.61482655 0.38517345]
 [0.53999783 0.46000217]
 [0.43768353 0.56231647]
 ...
 [0.5442692  0.4557308 ]
 [0.49747426 0.50252574]
 [0.62545865 0.37454135]]";"[[0.58969427 0.41030573]
 [0.51226829 0.48773171]
 [0.4998698  0.5001302 ]
 ...
 [0.54744164 0.45255836]
 [0.49403792 0.50596208]
 [0.58697515 0.41302485]]"
0.75533;0.78657;"[0.72666667 0.75333333 0.8        0.71333333 0.80666667 0.71333333
 0.76666667 0.76       0.73333333 0.78      ]";"[0.78571429 0.80571429 0.78       0.73714286 0.78285714 0.77714286
 0.8        0.81142857 0.79142857 0.79428571]";[-1 -1  1 ... -1  1 -1];"[[0.6200802  0.3799198 ]
 [0.54026355 0.45973645]
 [0.43578811 0.56421189]
 ...
 [0.54545314 0.45454686]
 [0.49576436 0.50423564]
 [0.62898686 0.37101314]]";"[[0.59304995 0.40695005]
 [0.51172771 0.48827229]
 [0.49977899 0.50022101]
 ...
 [0.54948827 0.45051173]
 [0.49277064 0.50722936]
 [0.59112563 0.40887437]]"
0.756;0.77371;"[0.75333333 0.78666667 0.80666667 0.70666667 0.78       0.74
 0.78       0.74       0.72666667 0.74      ]";"[0.76       0.79142857 0.80285714 0.71714286 0.76       0.77428571
 0.79142857 0.78857143 0.77714286 0.77428571]";[-1 -1  1 ... -1 -1 -1];"[[0.6190213  0.3809787 ]
 [0.56217677 0.43782323]
 [0.40156327 0.59843673]
 ...
 [0.55575164 0.44424836]
 [0.50301788 0.49698212]
 [0.64009431 0.35990569]]";"[[0.59613302 0.40386698]
 [0.51000721 0.48999279]
 [0.49859772 0.50140228]
 ...
 [0.55591015 0.44408985]
 [0.48789532 0.51210468]
 [0.60788526 0.39211474]]"
